Country,Arrivals
France,89322000
Spain,82773000
United States,79745920
China,62900000
Italy,61567200
Turkey,45768000
Mexico,41313000
Germany,38881000
Thailand,38178000
United Kingdom,36316000
Japan,31192000
Austria,30816000
Greece,30123000
"Hong Kong SAR, China",29263000
Malaysia,25832000
Russian Federation,24551000
United Arab Emirates,21286000
Canada,21134000
Poland,19622000
Netherlands,18780000
"Macao SAR, China",18493000
Hungary,17552000
India,17423000
Croatia,16645000
Portugal,16186000
Indonesia,15810000
Vietnam,15498000
"Korea, Rep.",15347000
Saudi Arabia,15334000
Singapore,14673000
Ukraine,14104000
Denmark,12749000
Morocco,12289000
Bahrain,12045000
Romania,11720000
Belarus,11501600
"Egypt, Arab Rep.",11196000
Ireland,10926000
Czech Republic,10611000
South Africa,10472000
Switzerland,10362000
Bulgaria,9273000
Australia,9246000
Belgium,9119000
Kazakhstan,8789000
Kuwait,8508000
Tunisia,8299000
Sweden,7440000
"Iran, Islamic Rep.",7295000
Philippines,7168000
Argentina,6942000
Brazil,6621000
Dominican Republic,6569000
Cambodia,6201000
Chile,5723000
Norway,5688000
Uzbekistan,5346000
Albania,5340000
Georgia,4757000
Cuba,4684000
Slovenia,4425000
Peru,4419000
Jordan,4150000
Israel,4121000
Cyprus,3939000
Colombia,3904000
Lao PDR,3770000
New Zealand,3686000
Myanmar,3551000
Uruguay,3469000
Estonia,3234000
Finland,3224000
Puerto Rico,3068000
Andorra,3042000
Costa Rica,3017000
Lithuania,2825000
Mozambique,2743000
Algeria,2657000
Azerbaijan,2633000
Malta,2599000
Zimbabwe,2580000
Ecuador,2535000
Jamaica,2473000
Iceland,2343800
Sri Lanka,2334000
Oman,2301000
Slovak Republic,2256000
Montenegro,2077000
Cote d'Ivoire,1965000
Lebanon,1964000
Latvia,1946000
Qatar,1819300
Panama,1785000
Guatemala,1781000
Serbia,1711000
El Salvador,1677300
Armenia,1652000
"Bahamas, The",1633000
Maldives,1484000
Mauritius,1399000
Tanzania,1378000
Nicaragua,1256000
Paraguay,1181000
Nepal,1173000
Lesotho,1173000
Bolivia,1142000
Zambia,1072000
Bosnia and Herzegovina,1053000
Tajikistan,1035000
Luxembourg,1018000
Malawi,871000
Fiji,870000
Ethiopia,849000
Sudan,836000
Eswatini,782000
Cabo Verde,710000
North Macedonia,707000
Barbados,680000
West Bank and Gaza,606000
Togo,573000
"Gambia, The",552000
Mongolia,529000
Belize,489000
Haiti,447000
Kyrgyz Republic,423000
St. Lucia,395000
Trinidad and Tobago,375000
Seychelles,362000
Monaco,347000
Benin,295000
Madagascar,291000
Guyana,287000
Brunei Darussalam,278000
Bhutan,274000
Antigua and Barbuda,269000
Angola,218000
Grenada,185000
Samoa,164000
Moldova,160000
Niger,157000
"Congo, Rep.",156000
Burkina Faso,144000
Papua New Guinea,140000
St. Kitts and Nevis,125000
Vanuatu,116000
Palau,106000
Liechtenstein,85300
San Marino,84000
St. Vincent and the Grenadines,80000
Timor-Leste,75000
Dominica,63000
Sierra Leone,57000
Tonga,54000
Comoros,35900
Sao Tome and Principe,33400
Solomon Islands,27900
"Micronesia, Fed. Sts.",19200
Mali,14000
Kiribati,7100
Marshall Islands,6800
Tuvalu,2700
Turkmenistan,
Honduras,
"Yemen, Rep.",
Suriname,
"Venezuela, RB",
Djibouti,
Iraq,
Syrian Arab Republic,
Burundi,
Bangladesh,
Eritrea,
Guinea,
Kenya,
Pakistan,
Botswana,
Namibia,
Senegal,
Central African Republic,
"Congo, Dem. Rep.",
Gabon,
Ghana,
Uganda,
Nigeria,
Mauritania,
Guinea-Bissau,
Rwanda,
Libya,
Cameroon,
Chad,
