Country,Departures
China,149720000
Germany,108542000
United States,92564000
"Hong Kong SAR, China",92214000
United Kingdom,70386000
Russian Federation,41964000
Italy,33347100
"Korea, Rep.",28696000
Ukraine,27811000
France,26914000
India,26296000
Canada,26033000
Netherlands,22115000
Saudi Arabia,21866000
Romania,21039000
Mexico,19748000
Spain,19116000
Japan,18954000
United Arab Emirates,18904000
Switzerland,15285000
Belgium,13098000
Poland,12800000
Austria,11883000
Australia,11403000
Argentina,11130000
Brazil,10628000
Thailand,9966000
Singapore,9889000
Indonesia,9468000
Finland,9450000
Hungary,8649000
Ireland,8643000
Israel,8473000
Turkey,8383000
Norway,8110000
Greece,7961000
Denmark,7475000
Czech Republic,7390000
"Iran, Islamic Rep.",7243000
Kyrgyz Republic,6839000
Bulgaria,6699000
Algeria,5610000
Albania,5415000
Colombia,4368000
Azerbaijan,3919000
Chile,3825000
Georgia,3698000
Oman,3350000
Lao PDR,3207000
Slovenia,3188000
Peru,3078000
New Zealand,3038000
Zimbabwe,2987000
Bahrain,2868000
Tunisia,2515000
Portugal,2486000
Lithuania,2244000
Estonia,2069000
Croatia,2058000
Cambodia,1995000
Luxembourg,1989000
Uruguay,1947000
Morocco,1923000
Eswatini,1717000
Armenia,1623000
"Macao SAR, China",1579000
Jordan,1501000
Sri Lanka,1476000
Cyprus,1446000
Ecuador,1402000
Latvia,1368000
Paraguay,1266000
El Salvador,1260000
Guatemala,1227000
Costa Rica,1079000
Bolivia,1060000
Nicaragua,974000
Belarus,836000
Panama,681000
Iceland,668000
Malta,667000
Dominican Republic,514000
Mauritius,296000
Moldova,264000
Fiji,174000
Sierra Leone,112000
Seychelles,72000
Samoa,64000
Tajikistan,31000
Vanuatu,29000
Malaysia,
Papua New Guinea,
Philippines,
Kazakhstan,
Sweden,
Turkmenistan,
Cuba,
Trinidad and Tobago,
"Venezuela, RB",
"Egypt, Arab Rep.",
Kuwait,
Honduras,
Puerto Rico,
Bangladesh,
Syrian Arab Republic,
Burundi,
Maldives,
Nepal,
Tuvalu,
"Congo, Dem. Rep.",
Gabon,
Uganda,
Central African Republic,
Chad,
Slovak Republic,
"Gambia, The",
"Congo, Rep.",
